"y","lag.1","lag.2","lag.3","lag.4","lag.5","lag.6","lag.7","lag.8","lag.9","lag.10","lag.11","lag.12","lag.13","lag.14","lag.15","lag.16","lag.17","lag.18","lag.19","lag.20","lag.21","lag.22","lag.23","lag.24","lag.25","lag.26","lag.27","lag.28","lag.29","lag.30"
118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25
7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93
69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42
62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27
15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94
21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47
69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19
50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92
13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17
6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28
12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39
8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86
9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67
6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47
5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92
18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75
4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83
20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6
31.8,20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45
20,31.8,20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17
0,20,31.8,20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67
14.26,0,20,31.8,20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02
4.79,14.26,0,20,31.8,20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66,146.02
13.2,4.79,14.26,0,20,31.8,20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01,10.66
56.99,13.2,4.79,14.26,0,20,31.8,20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8,10.01
13.09,56.99,13.2,4.79,14.26,0,20,31.8,20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5,10.8
119.15,13.09,56.99,13.2,4.79,14.26,0,20,31.8,20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10,5
22.5,119.15,13.09,56.99,13.2,4.79,14.26,0,20,31.8,20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06,10
13.35,22.5,119.15,13.09,56.99,13.2,4.79,14.26,0,20,31.8,20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26,11.06
48,13.35,22.5,119.15,13.09,56.99,13.2,4.79,14.26,0,20,31.8,20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56,42.26
